200,100,200,200
100,100,100,100
32.5,60,0,0
100,100,210,210
0,100,0,0
33,25,33,33
250,120,0,0
0,30,84,84
60,100,100,100
0,250,0,0
0,0,0,0
225,225,225,225
100,100,100,100
125,150,0,0
100,50,75,75
300,200,200,200
200,200,150,150
99,100,99,99
0,94,47,47
0,200,100,100
110,110,55,55
40,40,20,20
0,100,50,50
200,300,200,200
12,18,0,0
27.5,12,0,0
295,0,295,295
25,0,50,50
250,250,0,0
900,450,900,900
0,450,900,900
0,500,500,500
58.86,3.98,1.99,1.99
58.86,7.98,3.99,3.99
58.86,3.99,3.99,3.99
58.86,3.99,3.99,3.99
58.86,3.99,3.99,3.99
58.86,3.99,3.99,3.99
58.86,5.99,5.99,5.99
58.86,5.99,5.99,5.99
58.86,7.98,3.99,3.99
58.86,5.99,5.99,5.99
58.86,4.99,4.99,4.99
80,11.98,5.99,5.99
80,11.98,5.99,5.99
80,9.98,4.99,4.99
80,5.99,5.99,5.99
80,5.99,5.99,5.99
80,7.96,1.99,1.99
80,5.98,2.99,2.99
80,8.97,2.99,2.99
80,8.97,2.99,2.99
80,3.99,3.99,3.99
80,4.99,4.99,4.99
80,4.99,4.99,4.99
80,7.98,3.99,3.99
80,7.98,0,0
80,5.99,5.99,5.99
80,7.98,3.99,3.99
80,9.98,4.99,4.99
80,3.99,3.99,3.99
80,4.99,4.99,4.99
80,2.99,2.99,2.99
80,3.99,3.99,3.99
150,130,65,65
150,40,20,20
150,30,15,15
300,150,200,200
30,30,25.5,25.5
30,30,25.5,25.5
250,250,250,250
60,70,49,49
60,3,1.5,1.5
60,2.49,2.49,2.49
60,4.98,2.49,2.49
150,40,37.5,37.5
150,12,9,9
150,12,6,6
150,6,3,3
150,24,12,12
150,6,3,3
150,10,5,5
150,25,0,0
110,100,50,50
110,10,5,5
225,225,225,225
500,500,500,500
6,6,6,6
240,240,240,240
6,6,6,6
60,60,60,60
28,28,28,28
450,600,600,600
300,400,300,300
88,88,44,44
12,12,6,6
52,91,42,42
0,37.5,18,18
0,20,20,20
0,20,10,10
0,45,28,28
18,18,6,6
30,30,14,14
50,50,20,20
30,20,14,14
24,18,8,8
52.8,35,26.4,26.4
80,60,60,60
40,40,20,20
40,40,20,20
60,60,60,60
30,50,25,25
20,20,20,20
0,50,0,0
267,0,267,267
0,45,0,0
0,30,0,0
0,9,0,0
300,300,150,150
206.25,206.25,99,99
42.5,30,25.5,25.5
7.69,15.38,7.69,7.69
0,20,0,0
50,50,50,50
0,0,0,0
5000,1500,3500,3500
0,90,0,0
0,70,0,0
0,20,0,0
24,12,12,12
10.74,10.74,5.37,5.37
4.14,4.14,2.07,2.07
10.76,10.76,5.38,5.38
11.94,11.94,5.97,5.97
20.94,20.94,10.47,10.47
5,5,5,5
31.5,31.5,14,14
4,0,4,4
12.59,0,12.59,12.59
3,3,3,3
2,2,2,2
24,10,12,12
20,20,10,10
5,5,5,5
3,3,3,3
10,10,4,4
3.99,3.99,3.99,3.99
37.21,37.21,0,0
105,105,105,105
890,890,890,890
147,147,147,147
48.96,48.96,48.96,48.96
23.96,23.96,0,0
0,13.22,0,0
100,0,0,0
0,0,137.5,137.5
0,0,0,0
0,0,0,0
225,225,225,225
500,250,500,500
285,0,285,285
42,42,42,42
25,25,25,25
35,25,15,15
30,30,30,30
12,12,0,0
30,30,30,30
10,10,10,10
110,220,110,110
1766,1200,1324.5,1324.5
125,150,120,120
96,75,48,48
12,12,12,12
12,12,12,12
15,15,15,15
95,50,95,95
24,18,12,12
12,18,12,12
80,80,40,40
10.76,5,5.38,5.38
26.32,15,13.16,13.16
44,15,22,22
20,20,10,10
18,18,9,9
300,100,150,150
8,8,4,4
69,0,23,23
300,200,300,300
0,250,250,250
20,20,20,20
120,0,120,120
750,250,0,0
350,350,0,0
75,149.9,74.95,74.95
22.95,22.95,0,0
250,250,250,250
0,360,180,180
0,800,400,400
18,0,9,9
18,18,9,9
8,8,4,4
8,8,4,4
8,8,4,4
0,30,35.94,35.94
0,30,32.34,32.34
7.77,7.77,2.59,2.59
0,7.5,3.75,3.75
53,0,0,0
14,14,0,0
0,0,0,0
41,41,41,41
25,25,25,25
861.6,300,861.6,861.6
2200,0,2200,2200
600,0,600,600
0,0,160,160
0,0,0,0
0,0,0,0
20,0,20,20
0,40,40,40
30,0,0,0
